crash_date,crash_time,borough,zip_code,latitude,longitude,location,on_street_name,cross_street_name,off_street_name,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,contributing_factor_vehicle_2,contributing_factor_vehicle_3,contributing_factor_vehicle_4,contributing_factor_vehicle_5,collision_id,vehicle_type_code_1,vehicle_type_code_2,vehicle_type_code_3,vehicle_type_code_4,vehicle_type_code_5
09/14/2014,21:38:00,BRONX,10458,40.8640401,-73.8924398,"(40.8640401, -73.8924398)",EAST 193 STREET,BAINBRIDGE AVENUE,NA,1,0,0,0,1,0,0,0,Unspecified,Unspecified,NA,NA,NA,1024329,SPORT UTILITY / STATION WAGON,BICYCLE,NA,NA,NA
11/10/2015,22:25:00,MANHATTAN,10019,40.7679171,-73.9857147,"(40.7679171, -73.9857147)",WEST 57 STREET,9 AVENUE,NA,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,NA,NA,NA,3332270,OTHER,PASSENGER VEHICLE,NA,NA,NA
04/07/2017,23:01:00,NA,NA,40.82815,-73.93491,"(40.82815, -73.93491)",WEST 155 STREET,MACOMBS PLACE,NA,0,0,0,0,0,0,0,0,Unspecified,Unspecified,NA,NA,NA,3648054,Station Wagon/Sport Utility Vehicle,Taxi,NA,NA,NA
04/08/2014,16:27:00,MANHATTAN,10034,40.8670152,-73.9231089,"(40.8670152, -73.9231089)",WEST 204 STREET,BROADWAY,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,317541,PASSENGER VEHICLE,PASSENGER VEHICLE,NA,NA,NA
03/13/2020,14:20:00,MANHATTAN,10011,40.746525,-74.003456,"(40.746525, -74.003456)",NA,NA,461       WEST 22 STREET,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,NA,NA,NA,4301088,Sedan,NA,NA,NA,NA
05/21/2013,13:15:00,MANHATTAN,10128,40.780065,-73.947047800000007,"(40.780065, -73.9470478)",1 AVENUE,EAST 91 STREET,NA,1,0,0,0,1,0,0,0,Other Vehicular,Other Vehicular,NA,NA,NA,48658,VAN,BICYCLE,NA,NA,NA
07/02/2014,16:20:00,BROOKLYN,11230,40.6289305,-73.9713664,"(40.6289305, -73.9713664)",OCEAN PARKWAY,AVENUE H,NA,1,0,0,0,0,0,1,0,Unspecified,Unspecified,NA,NA,NA,361595,PASSENGER VEHICLE,PASSENGER VEHICLE,NA,NA,NA
12/18/2014,00:30:00,BROOKLYN,11216,40.6781564,-73.9441507,"(40.6781564, -73.9441507)",BROOKLYN AVENUE,ATLANTIC AVENUE,NA,0,0,0,0,0,0,0,0,Unspecified,Unspecified,NA,NA,NA,3139762,PASSENGER VEHICLE,PASSENGER VEHICLE,NA,NA,NA
12/19/2015,21:00:00,MANHATTAN,10002,40.7185558,-73.9882,"(40.7185558, -73.9882)",DELANCEY STREET,ESSEX STREET,NA,0,0,0,0,0,0,0,0,Unspecified,Unspecified,NA,NA,NA,3356553,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,NA,NA,NA
03/20/2015,23:02:00,QUEENS,11429,40.7101436,-73.7375073,"(40.7101436, -73.7375073)",SPRINGFIELD BOULEVARD,107 AVENUE,NA,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,NA,NA,NA,3190397,OTHER,PASSENGER VEHICLE,NA,NA,NA
